case,ky,gamma_reference,gamma_gkx,gamma_relative_difference,omega_reference,omega_gkx,omega_relative_difference,gamma_half_time_shift,omega_half_time_shift,converged
w7x_itg,1.7000000476837158,0.24229502982912007,0.24230111532159962,2.5116043378347373e-05,0.4958943926800064,0.4958929271866217,-2.955252985983889e-06,4.949988588320358e-09,3.325450835801749e-10,True
w7x_itg,1.8000000715255737,0.23767883927501432,0.2376738823382741,-2.085560816155783e-05,0.544319937103673,0.5443161167306328,-7.018616772463367e-06,-9.18817188449219e-09,-2.637214178754907e-09,True
w7x_itg,1.899999976158142,0.23155642087348025,0.23155598640495825,-1.8762965861783208e-06,0.5885869414485686,0.5885806246667075,-1.0732113501518393e-05,1.6120370245456645e-08,2.6371688523197957e-09,True
w7x_itg,2.0,0.22472546985971997,0.22471848046952828,-3.110190489783061e-05,0.6279108820602908,0.6279024685231319,-1.33992536190032e-05,-2.245720389311561e-08,-2.6390652544416644e-09,True
w7x_itg,2.1000001430511475,0.21775538269539327,0.21775141753200272,-1.820925545658e-05,0.6617335401780424,0.6617221168236747,-1.7262770698753235e-05,2.8430869596256213e-08,3.889164817943461e-09,True
w7x_itg,2.200000047683716,0.2111072515883641,0.21108886299102775,-8.710547457749513e-05,0.689833194540258,0.6898198733644388,-1.9310720221402306e-05,-3.1686528804234423e-08,-8.837978667613033e-09,True
w7x_itg,2.299999952316284,0.2051003554411102,0.20508511821799869,-7.429154902599761e-05,0.7123293113290218,0.7123165521811826,-1.7911866936029063e-05,4.828636134264852e-09,2.06646722023293e-08,True
w7x_itg,2.4000000953674316,0.20008170909700337,0.20005302191433202,-0.00014337733719298472,0.7296048876834892,0.7295934492020354,-1.5677638194164815e-05,1.2500545225486205e-07,-1.4395964078528731e-08,True
w7x_itg,2.5,0.1962794990916001,0.19624006455910561,-0.00020091009339744855,0.742202389309978,0.7421912028768303,-1.507194440330585e-05,-6.996188875172159e-08,-6.065548093510411e-08,True
w7x_itg,2.6000001430511475,0.193805732835106,0.19377905879656337,-0.0001376328664400897,0.7507485538198236,0.7507373030000647,-1.4986135773024403e-05,-3.462833345455025e-07,-1.6618403482997754e-08,True
w7x_itg,2.700000047683716,0.19270949475249352,0.19266353292403987,-0.00023850318591038354,0.7559110853407118,0.7559001125813986,-1.4515939144259475e-05,-3.420096144854026e-07,5.717259492404728e-08,True
hsx_itg,0.10000000149011612,0.017389811403853327,0.017873792884936256,0.027831324322222677,0.00704548618523404,0.007420989943943233,0.05329706834088685,-0.1193925953517465,1.0536029933831366,False
hsx_itg,0.20000000298023224,0.04126295883600649,0.04090160854747347,-0.008757255871280423,0.017209632885887435,0.016928456719332567,-0.016338301253680052,0.02363985184943732,0.017900068276047253,True
hsx_itg,0.30000001192092896,0.06588236159203868,0.06467934589244462,-0.018260057328294665,0.020263733722171502,0.01499408567799139,-0.2600531627798851,0.09890703222639481,0.967215476112473,False
hsx_itg,0.4000000059604645,0.11018971049864042,0.11049317751752405,0.0027540413484195224,0.032446060280658696,0.03318820701614241,0.02287324652250964,-0.024371253635089896,0.015848500879025333,True
hsx_itg,0.5,0.1563025354162643,0.1562889281612914,-8.705716088778681e-05,0.049496182338579706,0.04949907528044189,5.8447777697149075e-05,-0.0006856383070636334,-0.0013927984990965714,True
hsx_itg,0.6000000238418579,0.2018558267307909,0.20185575214102355,-3.6952001110354e-07,0.08040592554760606,0.08040672446213856,9.936015623979948e-06,-2.6273527624106397e-05,-1.301329141362764e-05,True
hsx_itg,0.699999988079071,0.24108139111807472,0.2410795504687747,-7.63497046162249e-06,0.1253088814647574,0.12530857940934131,-2.4104868909943194e-06,-1.2566306998068865e-07,1.9818086172897226e-06,True
hsx_itg,0.800000011920929,0.2713177219817513,0.27132438625232813,2.456260699872939e-05,0.1807590554419317,0.1807594147279153,1.9876513667591105e-06,3.4545075409330554e-08,-6.361812730943835e-08,True
hsx_itg,0.9000000357627869,0.2915144092158267,0.291519903093125,1.8845988824482612e-05,0.24295501273713613,0.2429541164616239,-3.689059559327127e-06,-3.3038640291571296e-09,5.884668508580417e-09,True
hsx_itg,1.0,0.3014759362528199,0.30148437107596837,2.7978429234968575e-05,0.3086934724920674,0.3086922512429753,-3.956186965252034e-06,-1.035783697693187e-09,-7.899249884290472e-10,True
hsx_itg,1.100000023841858,0.30198934674263,0.3019931747936963,1.2676112941042928e-05,0.37575409365327733,0.3757508139488157,-8.728326629088316e-06,-1.0186197436161797e-09,-1.1300001270376197e-09,True
